imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt0219854,The Kid,2000,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin",49,45,"$94,642,382",Bruce Willis,m
tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel",49,47,"$94,584,095",Logan Lerman,m
tt0227445,The Score,2001,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett",73,71,"$94,468,507",Robert De Niro,m
tt0398808,Bridge to Terabithia,2007,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",85,74,"$94,316,400",Josh Hutcherson,m
tt0442933,Beowulf,2007,"Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian",71,59,"$94,316,400",Robin Wright,m
tt0428803,March of the Penguins,2005,"Charles Berling, Romane Bohringer, Jules Sitruk, Morgan Freeman",94,79,"$94,301,818",Charles Berling,m
tt0251160,John Q,2002,"Gabriela Oltean, Denzel Washington, Kimberly Elise, Ron Annabelle",23,30,"$93,910,657",Gabriela Oltean,f
tt0204946,Bring It On,2000,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",63,52,"$93,813,397",Kirsten Dunst,f
tt1964418,Tomorrowland,2015,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy",50,60,"$93,759,354",George Clooney,m
tt1204342,The Muppets,2011,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones",96,75,"$93,714,560",Jason Segel,m
tt0190865,Vertical Limit,2000,"Chris O'Donnell, Robin Tunney, Stuart Wilson, Augie Davis",48,48,"$93,675,233",Chris O'Donnell,m
tt1193138,Up in the Air,2009,"George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",91,83,"$92,916,540",George Clooney,m
tt0388419,Christmas with the Kranks,2004,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh",5,22,"$92,816,158",Tim Allen,m
tt0377109,The Ring Two,2005,"Naomi Watts, Simon Baker, David Dorfman, Elizabeth Perkins",20,44,"$92,474,264",Naomi Watts,f
